collison detect time::   	21.1529		collison pairs::   	2778
collison detect time::   	20.5701		collison pairs::   	2900
collison detect time::   	20.6527		collison pairs::   	3008
collison detect time::   	20.5797		collison pairs::   	3018
collison detect time::   	20.4845		collison pairs::   	3070
collison detect time::   	20.7751		collison pairs::   	3058
collison detect time::   	21.8795		collison pairs::   	3076
collison detect time::   	20.7885		collison pairs::   	3148
collison detect time::   	20.7226		collison pairs::   	3244
collison detect time::   	21.2784		collison pairs::   	3374
collison detect time::   	21.6082		collison pairs::   	3474
collison detect time::   	21.0454		collison pairs::   	3610
collison detect time::   	21.5794		collison pairs::   	3634
collison detect time::   	21.9433		collison pairs::   	3792
collison detect time::   	21.5354		collison pairs::   	3882
collison detect time::   	21.3891		collison pairs::   	3916
collison detect time::   	21.6521		collison pairs::   	4002
collison detect time::   	21.4547		collison pairs::   	4094
collison detect time::   	22.1106		collison pairs::   	4292
collison detect time::   	21.3521		collison pairs::   	4562
collison detect time::   	21.4761		collison pairs::   	4640
collison detect time::   	21.5364		collison pairs::   	4648
collison detect time::   	21.6546		collison pairs::   	4802
collison detect time::   	22.6674		collison pairs::   	4866
collison detect time::   	28.8779		collison pairs::   	4984
collison detect time::   	22.0449		collison pairs::   	5098
collison detect time::   	22.236		collison pairs::   	5272
collison detect time::   	22.4589		collison pairs::   	5330
collison detect time::   	22.663		collison pairs::   	5410
collison detect time::   	22.7515		collison pairs::   	5566
collison detect time::   	22.8922		collison pairs::   	5624
collison detect time::   	22.671		collison pairs::   	5754
collison detect time::   	23.6992		collison pairs::   	5794
collison detect time::   	23.9245		collison pairs::   	5768
collison detect time::   	23.6988		collison pairs::   	6006
collison detect time::   	23.1017		collison pairs::   	5784
collison detect time::   	24.23		collison pairs::   	5716
collison detect time::   	23.618		collison pairs::   	5722
collison detect time::   	23.5786		collison pairs::   	5566
collison detect time::   	23.4046		collison pairs::   	5490
collison detect time::   	23.6219		collison pairs::   	5440
collison detect time::   	26.0559		collison pairs::   	5284
collison detect time::   	24.4611		collison pairs::   	5044
collison detect time::   	24.0016		collison pairs::   	4856
collison detect time::   	24.0159		collison pairs::   	4746
collison detect time::   	24.8559		collison pairs::   	4590
collison detect time::   	24.6675		collison pairs::   	4568
collison detect time::   	23.6318		collison pairs::   	4454
collison detect time::   	24.8701		collison pairs::   	4360
collison detect time::   	23.8286		collison pairs::   	4234
collison detect time::   	23.67		collison pairs::   	4158
collison detect time::   	24.0182		collison pairs::   	4250
collison detect time::   	23.7256		collison pairs::   	4346
collison detect time::   	23.9647		collison pairs::   	4326
collison detect time::   	24.483		collison pairs::   	4314
collison detect time::   	23.5834		collison pairs::   	4220
collison detect time::   	24.2078		collison pairs::   	4352
collison detect time::   	23.7338		collison pairs::   	4398
collison detect time::   	26.1729		collison pairs::   	4502
collison detect time::   	24.1072		collison pairs::   	4580
collison detect time::   	24.2079		collison pairs::   	4604
collison detect time::   	24.0773		collison pairs::   	4566
collison detect time::   	24.9391		collison pairs::   	4654
collison detect time::   	24.2916		collison pairs::   	4680
collison detect time::   	25.2004		collison pairs::   	4822
collison detect time::   	25.1083		collison pairs::   	4840
collison detect time::   	24.723		collison pairs::   	4856
collison detect time::   	24.2409		collison pairs::   	4926
collison detect time::   	24.4704		collison pairs::   	5012
collison detect time::   	24.3634		collison pairs::   	5102
collison detect time::   	24.283		collison pairs::   	5164
collison detect time::   	25.6071		collison pairs::   	5204
collison detect time::   	24.373		collison pairs::   	5212
collison detect time::   	24.4709		collison pairs::   	5282
collison detect time::   	24.3052		collison pairs::   	5394
collison detect time::   	25.247		collison pairs::   	5540
collison detect time::   	25.0683		collison pairs::   	5714
collison detect time::   	25.0538		collison pairs::   	5858
collison detect time::   	25.2484		collison pairs::   	5944
collison detect time::   	24.9003		collison pairs::   	6034
collison detect time::   	24.6548		collison pairs::   	6114
collison detect time::   	25.197		collison pairs::   	6262
collison detect time::   	24.7603		collison pairs::   	6254
collison detect time::   	24.8266		collison pairs::   	6302
collison detect time::   	25.4008		collison pairs::   	6550
collison detect time::   	25.822		collison pairs::   	6702
collison detect time::   	25.0095		collison pairs::   	6896
collison detect time::   	25.3454		collison pairs::   	7064
collison detect time::   	25.1661		collison pairs::   	7278
collison detect time::   	26.4693		collison pairs::   	7454
collison detect time::   	26.0555		collison pairs::   	7558
collison detect time::   	25.6326		collison pairs::   	7552
collison detect time::   	26.4835		collison pairs::   	7534
collison detect time::   	25.4641		collison pairs::   	7710
collison detect time::   	25.7027		collison pairs::   	7900
collison detect time::   	25.5952		collison pairs::   	8138
collison detect time::   	25.7823		collison pairs::   	8400
collison detect time::   	25.9177		collison pairs::   	8662
collison detect time::   	27.045		collison pairs::   	8824
collison detect time::   	25.8079		collison pairs::   	8858
collison detect time::   	27.3388		collison pairs::   	8966
collison detect time::   	26.2648		collison pairs::   	8936
collison detect time::   	26.7986		collison pairs::   	8968
collison detect time::   	26.2849		collison pairs::   	9192
collison detect time::   	26.3367		collison pairs::   	9164
collison detect time::   	26.8306		collison pairs::   	9072
collison detect time::   	26.4703		collison pairs::   	8882
collison detect time::   	26.7147		collison pairs::   	8926
collison detect time::   	26.7657		collison pairs::   	8802
collison detect time::   	26.5165		collison pairs::   	8760
collison detect time::   	26.984		collison pairs::   	8640
collison detect time::   	26.4381		collison pairs::   	8424
collison detect time::   	27.5932		collison pairs::   	8216
collison detect time::   	26.671		collison pairs::   	8070
